KOTA/KABUPATEN;KECAMATAN;REG;ESTIMASI REG;OKE;ESTIMASI OKE;YES;ESTIMASI YES;ORIGIN
Palembang;Gandus;31000;2 - 3 Hari;27000;4 - 5 Hari;45000;-;YOGYAKARTA
MuaraEnim;Gelumbang;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
MuaraEnim;GunungMegang;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
Palembang;IlirBaratI;31000;2 - 3 Hari;27000;4 - 5 Hari;45000;-;YOGYAKARTA
Palembang;IlirBaratII;31000;2 - 3 Hari;27000;4 - 5 Hari;45000;-;YOGYAKARTA
Palembang;IlirTimurI;31000;2 - 3 Hari;27000;4 - 5 Hari;45000;-;YOGYAKARTA
Palembang;IlirTimurII;31000;2 - 3 Hari;27000;4 - 5 Hari;45000;-;YOGYAKARTA
OganIlir;Indralaya;52000;4 - 5 Hari;45000;7 - 8 Hari;-;-;YOGYAKARTA
Lahat;Jarai;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
MusiRawas;Jayaloka;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringIlir;Jejawi;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
Palembang;Kalidoni;31000;2 - 3 Hari;27000;4 - 5 Hari;45000;-;YOGYAKARTA
MusiRawas;KarangDapo;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
MusiRawas;Karangjaya;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
MuaraEnim;Kelekar;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
MusiBanyuasin;Keluang;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
Palembang;Kemuning;31000;2 - 3 Hari;27000;4 - 5 Hari;45000;-;YOGYAKARTA
Palembang;Kertapati;31000;2 - 3 Hari;27000;4 - 5 Hari;45000;-;YOGYAKARTA
Lahat;KikimBarat;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
Lahat;KikimSelatan;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
Lahat;KikimTengah;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
Lahat;KikimTimur;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
